position COMBINED_rate.cM.Mb. Genetic_Map.cM. recom.rate
1 NA NA 0
2 NA NA 0.05
3 NA NA 0.05
4 NA NA 0.05
5 NA NA 0.05
6 NA NA 0.05
7 NA NA 0.05
8 NA NA 0.05
9 NA NA 0.05
10 NA NA 0.05
11 NA NA 0.05
12 NA NA 0.05
13 NA NA 0.05
14 NA NA 0.05
15 NA NA 0.05
16 NA NA 0.05
17 NA NA 0.05
18 NA NA 0.05
19 NA NA 0.05
20 NA NA 0.05
21 NA NA 0.05
22 NA NA 0.05
23 NA NA 0.05
24 NA NA 0.05
25 NA NA 0.05
26 NA NA 0.05
27 NA NA 0.05
28 NA NA 0.05
29 NA NA 0.05
30 NA NA 0.05
31 NA NA 0.05
32 NA NA 0.05
33 NA NA 0.05
34 NA NA 0.05
35 NA NA 0.05
36 NA NA 0.05
37 NA NA 0.05
38 NA NA 0.05
39 NA NA 0.05
40 NA NA 0.05
41 NA NA 0.05
42 NA NA 0.05
43 NA NA 0.05
44 NA NA 0.05
45 NA NA 0.05
46 NA NA 0.05
47 NA NA 0.05
48 NA NA 0.05
49 NA NA 0.05
50 NA NA 0.05
51 NA NA 0.05
52 NA NA 0.05
53 NA NA 0.05
54 NA NA 0.05
55 NA NA 0.05
56 NA NA 0.05
57 NA NA 0.05
58 NA NA 0.05
59 NA NA 0.05
60 NA NA 0.05
61 NA NA 0.05
62 NA NA 0.05
63 NA NA 0.05
64 NA NA 0.05
65 NA NA 0.05
66 NA NA 0.05
67 NA NA 0.05
68 NA NA 0.05
69 NA NA 0.05
70 NA NA 0.05
71 NA NA 0.05
72 NA NA 0.05
73 NA NA 0.05
74 NA NA 0.05
75 NA NA 0.05
76 NA NA 0.05
77 NA NA 0.05
78 NA NA 0.05
79 NA NA 0.05
80 NA NA 0.05
81 NA NA 0.05
82 NA NA 0.05
83 NA NA 0.05
84 NA NA 0.05
85 NA NA 0.05
86 NA NA 0.05
87 NA NA 0.05
88 NA NA 0.05
89 NA NA 0.05
90 NA NA 0.05
91 NA NA 0.05
92 NA NA 0.05
93 NA NA 0.05
94 NA NA 0.05
95 NA NA 0.05
96 NA NA 0.05
97 NA NA 0.05
98 NA NA 0.05
99 NA NA 0.05
100 NA NA 0.05
